start,end,steady,well_1,well_2,well_3,well_4,well_5,well_6,well_7,well_8,well_9,chem_1,chem_2,chem_3,chem_4,chem_5,chem_6,chem_7,chem_8,chem_9
17,17.5,FALSE,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
17.5,18,FALSE,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
18,18.5,FALSE,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
18.5,19,FALSE,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
19,19.5,FALSE,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
19.5,20,FALSE,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
20,20.5,FALSE,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
20.5,21,FALSE,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
21,21.5,FALSE,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
21.5,22,FALSE,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
22,22.5,FALSE,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
22.5,23,FALSE,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
23,23.5,FALSE,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
23.5,24,FALSE,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
24,24.5,FALSE,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
24.5,25,FALSE,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
25,25.5,FALSE,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
25.5,26,FALSE,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
26,26.5,FALSE,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
26.5,27,FALSE,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
27,27.5,FALSE,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
27.5,28,FALSE,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
28,28.5,FALSE,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
28.5,29,FALSE,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
29,29.5,FALSE,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
29.5,30,FALSE,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
30,30.5,FALSE,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
30.5,31,FALSE,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
31,31.5,FALSE,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
31.5,32,FALSE,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
32,32.5,FALSE,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
32.5,33,FALSE,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
33,33.5,FALSE,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
33.5,34,FALSE,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
34,34.5,FALSE,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
34.5,35,FALSE,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
35,35.5,FALSE,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
35.5,36,FALSE,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
36,36.5,FALSE,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
36.5,37,FALSE,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
37,37.5,FALSE,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
37.5,38,FALSE,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
38,38.5,FALSE,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
38.5,39,FALSE,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
39,39.5,FALSE,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
39.5,40,FALSE,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
40,40.5,FALSE,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
40.5,41,FALSE,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
41,41.5,FALSE,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
41.5,42,FALSE,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
42,42.5,FALSE,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
42.5,43,FALSE,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
43,43.5,FALSE,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
43.5,44,FALSE,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
44,44.5,FALSE,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
44.5,45,FALSE,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
45,45.5,FALSE,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
45.5,46,FALSE,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
46,46.5,FALSE,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
46.5,47,FALSE,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
47,47.5,FALSE,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
47.5,48,FALSE,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
48,48.5,FALSE,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
48.5,49,FALSE,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
49,49.5,FALSE,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
49.5,50,FALSE,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
50,50.5,FALSE,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
50.5,51,FALSE,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
51,51.5,FALSE,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
51.5,52,FALSE,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
52,52.5,FALSE,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
52.5,53,FALSE,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
53,53.5,FALSE,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
53.5,54,FALSE,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
54,54.5,FALSE,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
54.5,55,FALSE,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
55,55.5,FALSE,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
55.5,56,FALSE,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
56,56.5,FALSE,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
56.5,57,FALSE,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
57,57.5,FALSE,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
57.5,58,FALSE,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
58,58.5,FALSE,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
58.5,59,FALSE,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
59,59.5,FALSE,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
59.5,60,FALSE,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
